"company name","description","tags","url","size","funding"
"01 Founders ","Free-to-access coding school with a job-guarantee","Fintech, •, B2C, •, Cryptocurrency, •, SaaS, •, Cyber Security, •, Blockchain, ","https://app.otta.com//companies/01-Founders","",""
"01 Founders ","Free-to-access coding school with a job-guarantee","Fintech, •, B2C, •, Cryptocurrency, •, SaaS, •, Cyber Security, •, Blockchain, ","https://app.otta.com//companies/01-Founders","",""
"0xA Technologies ","Web3 advisors and builders","B2B, •, Cryptocurrency, •, Blockchain, ","https://app.otta.com//companies/0xA-Technologies","",""
"10x Banking ","Cloud-native digital banking platform","Fintech, •, B2B, •, Banking, •, SaaS, ","https://app.otta.com//companies/10x-Banking","201-500","£202.2"
"15below ","Personalised passenger communications for the travel industry","B2B, •, Travel, •, Productivity, •, Communication, ","https://app.otta.com//companies/15below","",""
"1Password ","Enterprise password manager","B2C, •, Retail, •, B2B, •, Enterprise, •, Privacy, •, SaaS, •, Cyber Security, ","https://app.otta.com//companies/1Password","501-1000","£753.7"
"1upHealth ","API platform for healthcare connectivity","Healthcare, •, B2B, •, Analytics, •, API, •, Data Sharing, •, MedTech, ","https://app.otta.com//companies/1upHealth","101-200","£29.6"
"23andMe ","Genetic testing and DNA analysis","Healthcare, •, B2C, •, Personal health, •, Biology, ","https://app.otta.com//companies/23andMe","501-1000","£1092"
"360Insights ","Platform for companies to build and facilitate rebate and incentive programs","B2B, •, Enterprise, •, HR, •, Analytics, •, SaaS, •, Cloud Computing, ","https://app.otta.com//companies/360Insights","501-1000","£39.1"
"3 Billion Pairs ","Genetics for helping users understand themselves better","B2C, •, Personal health, •, Science, ","https://app.otta.com//companies/3-Billion-Pairs","",""
"3S Money ","Banking platform for cross-border businesses","B2B, •, Banking, •, Financial Services, ","https://app.otta.com//companies/3S-Money","21-100","£4.9"
"51 to Carbon Zero ","Climate success platform","B2B, •, Enterprise, •, Sustainability, •, Marketing, •, Business Intelligence, ","https://app.otta.com//companies/51-to-Carbon-Zero","",""
"5Mins Ai ","Workplace microlearning platform","B2B, •, Content, •, Training, •, Learning, •, SaaS, •, Video, ","https://app.otta.com//companies/5Mins-Ai","",""
"6 River Systems ","Fulfillment solutions provider","B2B, •, Artificial Intelligence, •, Manufacturing, •, Robotics, •, SaaS, •, Delivery, ","https://app.otta.com//companies/6-River-Systems","201-500","£58.3"
"7bridges ","Deep tech logistics orchestration platform","B2B, •, Artificial Intelligence, •, Logistics, •, Deep Tech, •, Supply Chain, ","https://app.otta.com//companies/7bridges","21-100","£16.8"
"7shifts ","Workforce scheduling software for restaurants","B2B, •, Enterprise, •, HR, •, Food, •, SaaS, ","https://app.otta.com//companies/7shifts","201-500","£107.6"
"98point6 ","Text-based, on-demand primary healthcare","Healthcare, •, B2C, •, B2B, •, Wellbeing, ","https://app.otta.com//companies/98point6","201-500","£202.3"
"Aardvark ","Sustainable pet food","B2C, •, Retail, •, Sustainability, •, Food, •, Pets, ","https://app.otta.com//companies/Aardvark","1-20","£0.3"
"Abacus Insights ","Harnessing healthcare data through an intelligent data integration platform","Healthcare, •, B2B, •, Artificial Intelligence, •, Machine Learning, •, Data Integration, •, Cloud Computing, ","https://app.otta.com//companies/Abacus-Insights","21-100","£62.1"
